Gene	Num_Studies	Studies	Response	SB_count	SB_Response_Summary	SB_Ind_Responses	SB_CellFrac	TCPOBOP_count	TCPOBOP_Response_Summary	TCPOBOP_Ind_Responses	TCPOBOP_CellFrac	Background
SLC22A15	1	G22	G22_200000000	1	SexBiased_Female	F	NA	0	NotInduced	NA	NA	FALSE
SLC22A22	1	G22	G22_010000000	1	SexBiased_Male	M	NA	0	NotInduced	NA	NA	FALSE
SLC22A26	4	G21_SB:G21_TCPOBOP:G22:M19	G21_SB_Female_AC_5:G21_TCPOBOP_Up_AC_0_FC_2:G22_220000022:M19_NA_Robust_F	3	SexBiased_Female	F	22222	1	Induced_Female_Up_T27	F_U_T27	0000002020	FALSE
SLC22A27	3	G21_SB:G22:M19	G21_SB_Female_AC_5:G22_220000022:M19_NA_Robust_F	3	SexBiased_Female	F	22222	0	NotInduced	NA	NA	FALSE
SLC22A28	4	G21_SB:G21_TCPOBOP:G22:M19	G21_SB_Male_AC_5:G21_TCPOBOP_Up_AC_1_FC_0:G22_110000000:M19_NA_Robust_M	3	SexBiased_Male	M	11111	1	Induced_Male_Up_T27	M_U_T27	2000000000	FALSE
SLC22A29	1	M19	M19_NA_Robust_F	1	SexBiased_Female	F	NA	0	NotInduced	NA	NA	FALSE
SLC22A3	1	G21_TCPOBOP	G21_TCPOBOP_Down_AC_1_FC_0	0	NotSexBiased	NA	NA	1	Induced_Male_Down_T27	M_D_T27	0000100000	FALSE
SLC22A4	1	G22	G22_010000000	1	SexBiased_Male	M	NA	0	NotInduced	NA	NA	FALSE
SLC22A7	4	G21_SB:G21_TCPOBOP:G22:M19	G21_SB_Female_AC_2:G21_TCPOBOP_Down_AC_0_FC_4:G22_020000000:M19_2_Weak_M	3	Conflict	F,M	02020	1	Induced_Female_Down_T27	F_D_T27	0000001111	FALSE
SLC23A1	2	G21_TCPOBOP:L17	G21_TCPOBOP_Up_AC_4_FC_4:L17_M27_U	0	NotSexBiased	NA	NA	2	Induced_Both_Both_T27	B_U_T27,M_D_T27	0222222022	FALSE
SLC23A2	2	G21_TCPOBOP:L17	G21_TCPOBOP_Up_AC_4_FC_5:L17_M27_U_F3_U	0	NotSexBiased	NA	NA	2	Induced_Male_Up_Both	B_U_T27,B_U_B	0222222222	FALSE
SLC24A3	1	G22	G22_020000000	1	SexBiased_Female	F	NA	0	NotInduced	NA	NA	FALSE
SLC24A5	1	G22	G22_010000000	1	SexBiased_Male	M	NA	0	NotInduced	NA	NA	FALSE
SLC25A12	1	M19_SSI	M19_SSI	1	SSI	I	NA	0	NotInduced	NA	NA	TRUE
SLC25A16	1	M19_SSI	M19_SSI	1	SSI	I	NA	0	NotInduced	NA	NA	TRUE
SLC25A22	1	L17	L17_M27_D	0	NotSexBiased	NA	NA	1	Induced_Male_Down_T27	M_D_T27	NA	FALSE
SLC25A23	1	M19_SSI	M19_SSI	1	SSI	I	NA	0	NotInduced	NA	NA	TRUE
SLC25A25	4	G21_SB:G21_TCPOBOP:G22:L17	G21_SB_Female_AC_1:G21_TCPOBOP_Down_AC_1_FC_2:G22_220000020:L17_M27_D	2	SexBiased_Female	F	00002	2	Induced_Both_Down_T27	B_D_T27,M_D_T27	0000201010	FALSE
SLC25A27	3	G21_TCPOBOP:G22:M19	G21_TCPOBOP_Down_AC_1_FC_0:G22_020000000:M19_0_Robust_F	2	SexBiased_Female	F	NA	1	Induced_Male_Down_T27	M_D_T27	0000100000	FALSE
SLC25A32	1	M19	M19_1_WeakMismatch_F	1	Conflict	C	NA	0	NotInduced	NA	NA	FALSE
SLC25A33	1	M19	M19_2_Weak_M	1	SexBiased_Male	M	NA	0	NotInduced	NA	NA	FALSE
SLC25A37	2	G21_TCPOBOP:L17	G21_TCPOBOP_Up_AC_5_FC_5:L17_M27_U_F3_U	0	NotSexBiased	NA	NA	2	Induced_Male_Up_Both	B_U_T27,B_U_B	2222222222	FALSE
SLC25A39	1	M19_SSI	M19_SSI	1	SSI	I	NA	0	NotInduced	NA	NA	TRUE
SLC25A46	1	M19_SSI	M19_SSI	1	SSI	I	NA	0	NotInduced	NA	NA	TRUE
SLC25A47	1	G22	G22_200000000	1	SexBiased_Female	F	NA	0	NotInduced	NA	NA	FALSE
SLC26A1	1	L17	L17_M27_U	0	NotSexBiased	NA	NA	1	Induced_Male_Down_T27	M_D_T27	NA	FALSE
SLC26A11	1	M19_SSI	M19_SSI	1	SSI	I	NA	0	NotInduced	NA	NA	TRUE
SLC27A1	1	G21_TCPOBOP	G21_TCPOBOP_Down_AC_1_FC_1	0	NotSexBiased	NA	NA	1	Induced_Male_Down_T27	B_D_T27	0000101000	FALSE
SLC28A2	1	M19	M19_NA_Weak_F	1	SexBiased_Female	F	NA	0	NotInduced	NA	NA	FALSE
SLC2A1	1	M19_SSI	M19_SSI	1	SSI	I	NA	0	NotInduced	NA	NA	TRUE
